Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18624273,The War of Art,Steven Pressfield,"Pressfield, Steven","Coyne, Shawn","=""""","=""""",5,3.97,Black Irish Entertainment LLC,Kindle Edition,194,2011,2002,2025/12/28,2025/12/26,,,read,,,,1,0
27985224,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""0349411913""","=""""",3,4.16,Piatkus,Kindle Edition,305,2016,2016,2025/12/17,2024/11/16,,,read,,,,1,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.27,Del Rey,Hardcover,382,2014,2014,,2025/10/27,to-read,to-read (#55),to-read,,,,0,0
56852407,Billy Summers,Stephen  King,"King, Stephen",,"=""1982173610""","=""9781982173616""",0,4.18,Scribner,Hardcover,517,2021,2021,,2025/10/27,to-read,to-read (#54),to-read,,,,0,0
10644930,11/22/63,Stephen  King,"King, Stephen",,"=""1451627289""","=""9781451627282""",0,4.35,Scribner,Hardcover,849,2011,2011,,2025/10/27,to-read,to-read (#53),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.15,Crown Currency,Hardcover,195,2014,2014,,2025/10/27,to-read,to-read (#52),to-read,,,,0,0
123857637,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"Voss, Chris",Tahl Raz,"=""1847941494""","=""9781847941497""",0,4.34,Random House Business,Paperback,274,2023,2016,,2025/10/27,to-read,to-read (#51),to-read,,,,0,0
371023,"The Galton Case (Lew Archer, #8)",Ross Macdonald,"Macdonald, Ross",,"=""0679768645""","=""9780679768647""",2,4.07,Vintage Crime/Black Lizard,Paperback,242,1996,1959,,2025/02/10,to-read,to-read (#36),to-read,,,,0,0
54615491,Atomic Habits: An Easy and Proven Way to Build Good Habits and Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.32,Cornerstone Digital,Kindle Edition,277,2018,2018,2025/10/26,2024/11/17,,,read,,,,1,0
123193445,The Big Sleep,Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",4,3.94,SANAGE PUBLISHING HOUSE LLP,Kindle Edition,261,2023,1939,2024/12/17,2024/11/19,,,read,,,,1,0
222351650,New Zealand,Lance Morcan,"Morcan, Lance",,"=""0473728540""","=""9780473728540""",3,4.52,Sterling Gate Books,Kindle Edition,334,2024,2024,2025/02/10,2025/01/17,,,read,"Great book. Morcan expertly weaves historical facts with well constructed narratives to create a picture of what the early history of New Zealand may have looked like. This novel is an example of how historical fiction can sometimes reveal more than something with perfect historical accuracy. Especially when there is little evidence beyond oral history of what actually happened. The way that it explains how cannibalism was necessitated through overpopulation, and slowly grew to be a part of the culture is particularly fascinating.<br/><br/>A significant symbol in the novel is the dog. At the beginning, the Hawaiikans leave Hawaiiki to get away from the dogfaces. As the years pass in the new land of Aotearoa, they fall into the practices of the dogfaces, raiding other tribes’ pa, taking their women and children as slaves, rape and cannibalism. This is shown as the Māori now wear dogskin for clothing. They have become the very thing that their ancestors sought to get away from.<br/><br/>A very fascinating read that delves into a time in our history as a nation that is very rarely talked about in detail. The novel shows the importance of our nation’s history, and provides a document for a time in our history that is very undocumented, ensuring that the details of it don’t become even more lost to the ages.",,,1,0
29893493,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,"Knight, Phil",,"=""""","=""""",4,4.46,Simon & Schuster UK,Kindle Edition,410,2016,2016,2025/08/23,2024/11/19,,,read,,,,1,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",0,4.40,Random House,Hardcover,272,2019,2019,,2025/07/08,to-read,to-read (#50),to-read,,,,0,0
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,"=""0593152387""","=""9780593152386""",0,4.27,Random House Large Print,Paperback,464,2020,2020,,2025/07/08,to-read,to-read (#49),to-read,,,,0,0
481743,The Wave,Todd Strasser,"Strasser, Todd",Morton Rhue,"=""0440993717""","=""9780440993711""",5,3.62,Laurel Leaf Books,Mass Market Paperback,138,2005,1981,,2025/07/03,,,read,,,,1,0
8407173,Jasper Jones,Craig Silvey,"Silvey, Craig",,"=""1742372627""","=""9781742372624""",5,4.09,Allen & Unwin,Paperback,397,2010,2009,,2025/07/03,,,read,,,,1,0
7864437,"The Death Cure (The Maze Runner, #3)",James Dashner,"Dashner, James",,"=""0385738773""","=""9780385738774""",0,3.78,Delacorte Books for Young Readers,Hardcover,325,2011,2011,,2025/07/03,,,read,,,,1,0
19171538,The Scorch Trials (Maze Runner Series Book 2),James Dashner,"Dashner, James",,"=""1921989750""","=""9781921989759""",0,3.89,Scholastic Australia,Kindle Edition,377,2011,2010,,2025/07/03,,,read,,,,1,0
58613345,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.58,Scholastic Inc.,Hardcover,672,2005,2005,,2025/07/03,,,read,,,,1,0
58613424,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.57,Scholastic Inc.,Hardcover,752,2000,2000,,2025/07/03,,,read,,,,1,0
58613451,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043935806X""","=""9780439358064""",0,4.50,Scholastic Inc.,Hardcover,896,2003,2003,,2025/07/03,,,read,,,,1,0
58613224,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0545010225""","=""9780545010221""",0,4.62,Scholastic Inc.,Hardcover,784,2007,2007,,2025/07/03,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",0,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2025/07/03,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,2025/07/03,,,read,,,,1,0
42844155,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Olly Moss,"=""""","=""""",0,4.47,Pottermore Publishing,Kindle Edition,333,2015,1997,,2025/07/03,,,read,,,,1,0
58233053,Falling,T.J. Newman,"Newman, T.J.",,"=""1398509388""","=""9781398509382""",5,3.86,Simon & Schuster UK,Kindle Edition,368,2021,2021,2025/06/17,2025/06/11,,,read,,,,1,0
37542581,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,"Macintyre, Ben",,"=""0771060335""","=""9780771060335""",0,4.52,Signal,Hardcover,384,2018,2018,,2025/06/11,to-read,to-read (#48),to-read,,,,0,0
19831497,"Creativity, Inc.: an inspiring look at how creativity can - and should - be harnessed for business success by the founder of Pixar",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""""","=""""",4,4.21,Transworld Digital,Kindle Edition,467,2014,2014,2025/06/11,2025/06/10,,,read,,,,1,0
18043011,Clean Architecture,Robert C. Martin,"Martin, Robert C.",,"=""0134494164""","=""9780134494166""",0,4.22,Prentice Hall,Paperback,432,2017,2017,,2025/04/24,to-read,to-read (#47),to-read,,,,0,0
4099,The Pragmatic Programmer: From Journeyman to Master,Andy   Hunt,"Hunt, Andy","Dave         Thomas, Ward Cunningham","=""020161622X""","=""9780201616224""",0,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,,2025/04/24,to-read,to-read (#46),to-read,,,,0,0
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",0,4.36,Pearson,Paperback,464,2008,2007,,2025/04/24,to-read,to-read (#45),to-read,,,,0,0
58863492,Five Decembers,James Kestrel,"Kestrel, James",,"=""""","=""""",4,4.40,Titan Books,Kindle Edition,456,2021,2021,2025/04/16,2025/02/11,,,read,,,,1,0
2429135,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",0,4.18,Viking Canada,Hardcover,480,2008,2005,,2025/03/27,to-read,to-read (#44),to-read,,,,0,0
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",0,4.09,Vintage,Paperback,343,1994,1966,,2025/03/27,to-read,to-read (#43),to-read,,,,0,0
18592792,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""1742624065""","=""9781742624068""",5,4.39,Picador Australia,Kindle Edition,584,2007,2005,2025/03/10,2025/02/11,,,read,,,,1,0
68531,"The Archer's Tale (The Grail Quest, #1)",Bernard Cornwell,"Cornwell, Bernard",,"=""0060935766""","=""9780060935764""",0,4.16,HarperCollins,Paperback,374,2005,2000,,2025/03/01,to-read,to-read (#42),to-read,,,,0,0
5053,The Man from St. Petersburg,Ken Follett,"Follett, Ken",,"=""0451208706""","=""9780451208705""",0,3.95,Penguin Books,Paperback,320,2003,1982,,2025/03/01,to-read,to-read (#41),to-read,,,,0,0
26889751,The Way of the Runner: A Journey into the Fabled World of Japanese Running,Adharanand Finn,"Finn, Adharanand",,"=""1681771217""","=""9781681771212""",0,3.81,Pegasus Books,Hardcover,326,2016,2015,,2025/02/23,to-read,to-read (#40),to-read,,,,0,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.31,Scribner,Hardcover,531,2014,2014,,2025/02/11,to-read,to-read (#39),to-read,,,,0,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",0,4.44,Penguin Books,Paperback,601,2002,1952,,2025/02/11,to-read,to-read (#38),to-read,,,,0,0
32929156,Wuthering Heights,Emily Brontë,"Brontë, Emily","Pauline Nestor, Lucasta Miller","=""0141439556""","=""9780141439556""",0,3.90,Penguin Classics,Paperback,359,2016,1847,,2025/02/11,to-read,to-read (#37),to-read,,,,0,0
570642,Soft Touch,John D. MacDonald,"MacDonald, John D.",,"=""0449123537""","=""9780449123539""",0,3.94,Fawcett,,160,1981,1958,,2025/02/10,to-read,to-read (#35),to-read,,,,0,0
9827,"King Rat (Asian Saga, #4)",James Clavell,"Clavell, James",,"=""0385333765""","=""9780385333764""",0,4.20,Dell,Paperback,368,2009,1962,,2025/02/10,to-read,to-read (#34),to-read,,,,0,0
108780,The Penguin History of New Zealand,Michael    King,"King, Michael",,"=""0143018671""","=""9780143018674""",0,4.13,Penguin Books,Paperback,570,2003,2003,,2025/02/10,to-read,to-read (#33),to-read,,,,0,0
219473052,All Out,Neil Wagner,"Wagner, Neil",,"=""1776954068""","=""9781776954063""",4,4.20,Penguin eBooks (NZ Adult),Kindle Edition,296,2024,,2025/02/04,2025/02/04,,,read,,,,1,0
195888801,Why Machines Learn: The Elegant Math Behind Modern AI,Anil Ananthaswamy,"Ananthaswamy, Anil",,"=""0593185749""","=""9780593185742""",0,4.39,Dutton,Hardcover,480,2024,2024,,2025/01/24,to-read,to-read (#32),to-read,,,,0,0
61058107,The Staff Engineer's Path: A Guide for Individual Contributors Navigating Growth and Change,Tanya Reilly,"Reilly, Tanya",,"=""1098118731""","=""9781098118730""",0,4.38,O'Reilly Media,Paperback,335,2022,2022,,2025/01/24,to-read,to-read (#31),to-read,,,,0,0
60631342,System Design Interview – An Insider's Guide: Volume 2,Alex Xu,"Xu, Alex",Sahn Lam,"=""1736049119""","=""9781736049112""",0,4.44,Byte Code LLC,Paperback,424,2022,,,2025/01/24,to-read,to-read (#30),to-read,,,,0,0
54109255,System Design Interview – An insider's guide,Alex Xu,"Xu, Alex",,"=""""","=""""",0,4.26,Byte Code LLC,Kindle Edition,324,2020,2020,,2025/01/24,to-read,to-read (#29),to-read,,,,0,0
213731760,"Building LLMs for Production: Enhancing LLM Abilities and Reliability with Prompting, Fine-Tuning, and RAG",Louis-François Bouchard,"Bouchard, Louis-François",Louie Peters,"=""""","=""9798324731472""",0,4.14,Independently published,Paperback,463,2024,,,2025/01/24,to-read,to-read (#28),to-read,,,,0,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",4,4.30,Houghton Mifflin,Paperback,366,2002,1937,,2024/11/17,,,read,,,,1,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.70,O'Reilly,ebook,562,,2015,,2025/01/24,to-read,to-read (#27),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472,2014,2006,,2025/01/22,to-read,to-read (#26),to-read,,,,0,0
43294701,The Supernova Era,Liu Cixin,"Cixin, Liu",,"=""""","=""""",0,3.30,Head of Zeus,Kindle Edition,352,2019,2003,,2025/01/22,to-read,to-read (#25),to-read,,,,0,0
201917984,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,"Housel, Morgan",,"=""1761561197""","=""9781761561191""",5,4.28,Harriman House,Kindle Edition,224,2023,2020,2025/01/06,2024/11/17,,,read,,,,1,0
2050,"Farewell, My Lovely (Philip Marlowe, #2)",Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",0,4.09,Vintage Crime/Black Lizard,Paperback,292,1992,1940,,2024/12/17,to-read,to-read (#24),to-read,,,,0,0
29999,The Maltese Falcon,Dashiell Hammett,"Hammett, Dashiell",,"=""""","=""""",0,3.86,Orion,Paperback,213,2005,1930,,2024/12/17,to-read,to-read (#23),to-read,,,,0,0
216023271,1984,George Orwell,"Orwell, George",,"=""1998382311""","=""9781998382316""",5,4.20,Pomodoro Books,Kindle Edition,335,2020,1949,2024/11/19,2024/11/16,,,read,,,,1,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0060557818""","=""9780060557812""",0,4.16,William Morrow Paperbacks,Paperback,370,2003,1996,,2024/11/19,to-read,to-read (#22),to-read,,,,0,0
2794,The Crying of Lot 49,Thomas Pynchon,"Pynchon, Thomas",,"=""""","=""""",0,3.69,Harper Perennial Modern Classics,Paperback,152,2006,1966,,2024/11/19,to-read,to-read (#21),to-read,,,,0,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",0,4.09,Random House,Paperback,709,2000,2000,,2024/11/19,to-read,to-read (#20),to-read,,,,0,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",0,4.10,Dial Press,Paperback,275,1999,1969,,2024/11/19,to-read,to-read (#19),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",1,4.23,Crown Publishers,Hardcover,480,2011,2011,,2024/11/17,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.42,Ballantine Books,Hardcover,384,2014,2011,,2024/11/17,to-read,to-read (#18),to-read,,,,0,0
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0743273567""","=""9780743273565""",0,3.93,Scribner,Paperback,180,1925,1925,,2024/11/17,to-read,to-read (#17),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,,2024/11/17,to-read,to-read (#16),to-read,,,,0,0
